 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
4190,60.379,1059.409,1256.525,1059.409,1256.525,15396.691,100,2040
4191,188.685,2526.868,1264.560,2526.868,1264.560,48114.660,100,6375
4192,52.832,3371.860,1258.438,3371.860,1258.438,13472.105,100,1785
4193,37.737,3675.549,1256.319,3675.549,1256.319,9622.932,100,1275
4194,218.875,3750.142,1260.089,3750.142,1260.089,55813.006,100,7395
4195,67.927,3943.681,1256.868,3943.681,1256.868,17321.278,100,2295
4196,52.832,4032.378,1256.868,4032.378,1256.868,13472.105,100,1785
4197,475.486,4220.761,1263.496,4220.755,1263.559,119324.357,98.413,15810
4198,158.495,4247.711,1258.438,4247.711,1258.438,40416.314,100,5355
4199,83.021,4420.205,1257.617,4420.205,1257.617,21170.450,100,2805
4200,45.284,4788.462,1256.868,4788.462,1256.868,11547.518,100,1530
4201,45.284,5125.458,1257.326,5125.458,1257.326,11547.518,100,1530
4202,52.832,5449.176,1257.653,5449.176,1257.653,13472.105,100,1785
4203,15.095,5476.648,1255.495,5476.648,1255.495,3849.173,100,510
4204,105.664,5582.025,1260.008,5582.025,1260.008,26944.210,100,3570
4205,52.832,6132.849,1258.438,6132.849,1258.438,13472.105,100,1785
4206,52.832,6875.000,1257.653,6875.000,1257.653,13472.105,100,1785
4207,60.379,6890.797,1256.181,6890.797,1256.181,15396.691,100,2040
4208,45.284,7313.187,1256.868,7313.187,1256.868,11547.518,100,1530
4209,45.284,7928.571,1256.868,7928.571,1256.868,11547.518,100,1530
4210,158.495,798.993,1263.278,798.993,1263.278,40416.314,100,5355
4211,52.832,1636.774,1259.615,1636.774,1259.615,13472.105,100,1785
4212,67.927,1752.289,1259.310,1752.289,1259.310,17321.278,100,2295
4213,45.284,2719.780,1259.615,2719.780,1259.615,11547.518,100,1530
4214,52.832,2971.154,1259.615,2971.154,1259.615,13472.105,100,1785
4215,98.116,3727.705,1260.672,3727.705,1260.672,25019.623,100,3315
4216,22.642,4359.432,1258.700,4359.432,1258.700,5773.759,100,765
4217,22.642,4393.315,1258.700,4393.315,1258.700,5773.759,100,765
4218,98.116,4543.639,1262.785,4543.639,1262.785,25019.623,100,3315
4219,422.654,5000.785,1271.291,5001.215,1270.974,100078.493,92.857,13260
4220,52.832,5345.565,1259.615,5345.565,1259.615,13472.105,100,1785
4221,67.927,5641.484,1259.615,5641.484,1259.615,17321.278,100,2295
4222,45.284,6029.304,1260.073,6029.304,1260.073,11547.518,100,1530
4223,105.664,7095.761,1262.166,7095.761,1262.166,26944.210,100,3570
4224,143.401,7859.818,1261.929,7859.818,1261.929,36567.142,100,4845
4225,37.737,1873.901,1261.813,1873.901,1261.813,9622.932,100,1275
4226,22.642,1900.641,1261.447,1900.641,1261.447,5773.759,100,765
