x,y
5593.935,334.637
5776.099,334.637
7206.044,329.67
187.729,334.249
289.835,333.791
1667.308,333.242
2315.617,336.538
2890.11,333.791
3422.161,333.333
4112.637,332.418
4593.407,333.791
5124.215,336.931
5324.176,333.791
5964.91,336.788
6329.453,341.021
7388.187,332.143
7407.967,333.006
7519.231,333.791
7538.919,331.96
117.835,374.816
277.473,335.165
1485.675,336.538
1796.429,335.989
2295.559,339.744
3041.117,336.355
4354.396,336.538
5281.937,336.882
5751.832,336.996
5831.273,339.744
5984.89,335.165
6745.879,335.165
7582.418,336.538
411.058,338.942
1420.845,342.891
2615.385,337.912
3246.337,339.744
3791.209,337.912
3876.648,338.736
4487.981,339.629
4557.051,344.597
4876.479,343.407
4946.429,339.286
5940.934,336.538
6920.33,337.912
7563.187,339.286
351.648,340.659
385.989,344.78
1912.088,340.659
2078.297,341.248
4201.58,342.376
5472.527,342.033
5489.354,343.063
6309.615,340.385
6393.315,342.491
7484.89,339.286
7510.4,342.033
5583.791,342.033
5676.099,345.33
5896.749,346.383
6317.308,343.407
7031.593,346.154
7498.626,344.78
7530.22,342.033
8020.604,343.407
809.066,346.154
1494.963,349.359
4514.56,345.879
5285.44,348.077
5327.512,347.527
5509.615,346.154
6021.978,347.527
6075.549,348.312
326.099,349.176
864.56,349.176
5779.762,348.443
6464.744,350.733
6518.59,354.304
6618.132,347.527
6830.357,350.275
7170.33,348.901
7404.151,351.343
7777.93,349.359
385.421,374.597
1813.187,351.648
4375,350.275
5013.419,355.769
5375,353.807
5476.648,351.648
5633.791,351.923
6048.592,354.739
7489.011,351.648
7766.484,351.648
160.714,354.984
302.656,357.601
1477.747,356.319
1509.615,355.769
1911.745,359.547
2418.956,353.022
3245.421,355.311
4531.593,356.554
5113.226,355.769
5150.641,358.516
5996.795,358.059
6412.363,356.319
6559.066,353.022
6603.022,353.022
8042.975,359.694
2401.627,368.132
2487.637,359.301
2802.198,357.143
4846.154,358.516
5099.267,366.209
5274.725,359.89
7197.344,356.685
1431.002,362.532
2410.714,359.89
3364.011,359.89
4399.176,360.165
4751.499,372.815
5517.857,361.264
5615.842,362.637
6074.176,361.264
6306.662,360.92
6481.685,360.806
6616.758,364.011
7610.836,371.398
639.194,364.469
1932.692,362.637
4796.703,362.637
5451.694,373.741
5545.33,363.226
6446.429,362.637
6672.802,363.462
7807.967,364.56
315.476,364.927
1822.802,366.758
4262.363,365.385
5287.088,366.758
6332.418,365.385
6844.78,368.132
6884.027,366.758
7186.028,366.758
706.044,371.664
2474.857,374.044
4379.121,368.132
5331.044,370.726
5816.392,368.59
5853.218,371.86
5987.637,370.29
6015.271,373.222
6340.659,369.505
6423.077,368.132
7833.006,369.505
1802.198,375.74
3187.729,371.795
4350.275,373.626
4362.912,372.802
4833.227,414.889
5032.143,370.604
5053.901,379.176
5157.088,377.198
6098.077,370.604
6457.723,377.849
7819.597,371.795
306.777,375.458
755.495,373.626
3347.527,373.626
3453.297,373.626
3954.67,373.626
4549.647,374.215
5415.751,374.542
5432.951,384.434
6555.098,375.305
6835.432,386.167
7017.514,375.343
7761.676,375
1777.747,378.297
2155.22,376.374
4046.763,379.897
4512.363,377.747
4626.374,376.374
4936.813,375
5681.319,377.747
6927.656,378.205
7298.077,376.374
200.824,379.945
414.518,380.917
3150.148,383.876
4438.187,378.434
4646.978,379.121
5030.22,380.495
5506.868,381.279
5531.593,380.495
