 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
5809,35.794,2417.364,2936.645,2417.184,2936.573,1145.423,100.000,96
5810,250.561,3067.082,2943.718,3067.157,2944.237,13303.614,100.000,1115
5811,23.863,3134.686,2936.069,3134.686,2935.990,775.547,100.000,65
5812,59.657,4461.789,2937.796,4461.948,2937.657,2959.010,100.000,248
5813,47.726,4694.257,2936.069,4694.201,2936.157,2589.134,100.000,217
5814,47.726,5315.149,2937.796,5314.929,2938.011,1920.970,100.000,161
5815,47.726,6134.658,2936.069,6134.605,2936.398,1944.833,100.000,163
5816,71.589,597.576,2941.251,597.664,2941.000,3293.092,100.000,276
5817,143.178,2143.906,2946.720,2143.964,2947.520,6705.499,100.000,562
5818,1049.971,3109.721,2953.694,3109.298,2953.653,59430.763,100.000,4981
5819,155.109,4576.681,2948.956,4576.537,2949.190,7075.375,100.000,593
5820,71.589,4681.591,2940.675,4681.707,2940.953,3042.531,100.000,255
5821,59.657,5748.824,2939.178,5748.857,2939.021,2255.052,100.000,189
5822,47.726,335.057,2942.978,335.279,2943.146,2326.641,100.000,195
5823,47.726,497.405,2942.978,497.597,2942.871,1932.902,100.000,162
5824,298.287,811.530,2952.580,812.232,2952.898,16131.378,100.000,1352
5825,59.657,1134.014,2942.632,1133.861,2942.353,2541.408,100.000,213
5826,334.082,3038.585,2950.256,3038.271,2950.463,18625.060,100.000,1561
5827,274.424,3472.296,2951.463,3472.396,2951.382,14091.092,100.000,1181
5828,143.178,3997.660,2949.886,3997.733,2950.081,6967.992,100.000,584
5829,799.410,4352.729,2953.933,4352.720,2953.723,46210.670,100.000,3873
5830,190.904,4388.560,2952.477,4388.670,2952.131,8602.606,100.000,721
5831,274.424,4887.767,2952.064,4887.665,2952.114,12026.944,100.000,1008.000
5832,47.726,5010.316,2942.114,5010.453,2942.148,2111.874,100.000,177
5833,23.863,5025.860,2942.978,5025.745,2942.863,715.890,100.000,60
5834,23.863,5578.532,2941.251,5578.451,2941.251,1026.108,100.000,86
5835,274.424,6271.399,2956.269,6271.364,2956.614,13673.490,100.000,1146
5836,71.589,6311.973,2945.281,6311.639,2945.229,3305.023,100.000,277
5837,35.794,6417.326,2943.553,6417.314,2943.713,1121.560,100.000,94
5838,59.657,8058.301,2944.014,8058.211,2943.774,2744.243,100.000,230
5839,47.726,320.377,2948.159,320.263,2948.341,1813.587,100.000,152
5840,59.657,1478.743,2948.850,1478.772,2948.953,2803.901,100.000,235
5841,47.726,1488.760,2946.432,1488.486,2946.325,1730.066,100.000,145
5842,47.726,1761.642,2946.432,1761.790,2946.599,2219.258,100.000,186
5843,35.794,2002.860,2945.856,2002.648,2945.856,1360.190,100.000,114
5844,59.657,2429.338,2946.087,2429.376,2945.839,2398.230,100.000,201
5845,119.315,2536.073,2950.577,2535.911,2950.720,5536.212,100.000,464
5846,119.315,2760.941,2949.195,2760.940,2949.339,6252.102,100.000,524
5847,620.438,2945.834,2961.976,2944.856,2961.809,34124.068,100.000,2860
5848,11.931,2958.522,2944.705,2958.522,2944.705,405.671,100.000,34
5849,71.589,3164.046,2948.159,3164.174,2947.844,3400.475,100.000,285
5850,178.972,3443.261,2951.613,3442.619,2951.224,7194.690,100.000,603
5851,226.698,3722.809,2953.795,3723.262,2953.289,10380.398,100.000,870
5852,71.589,4987.288,2947.583,4987.543,2947.845,3281.160,100.000,275
5853,23.863,6015.488,2946.432,6015.488,2946.321,1479.505,100.000,124
5854,47.726,7077.654,2946.432,7077.857,2946.249,2135.737,100.000,179
5855,59.657,514.330,2952.304,514.138,2952.151,2529.476,100.000,212
5856,107.383,557.469,2952.765,557.328,2953.143,5416.898,100.000,454
5857,119.315,687.386,2955.067,687.216,2954.822,5214.062,100.000,437
5858,155.109,970.231,2956.130,970.475,2956.644,8101.483,100.000,679
5859,35.794,1381.104,2950.462,1380.809,2950.550,1395.985,100.000,117
5860,35.794,2400.093,2950.462,2399.883,2950.734,1312.464,100.000,110
5861,1407.916,2442.060,2995.727,2441.503,2997.246,76373.483,100.000,6401
5862,47.726,3336.756,2949.886,3336.967,2950.019,2636.860,100.000,221
5863,167.041,3375.986,2957.288,3376.009,2957.546,7349.799,100.000,616
5864,59.657,4709.801,2951.613,4709.784,2951.921,2410.161,100.000,202
5865,59.657,4909.453,2949.541,4909.500,2949.593,2815.832,100.000,236
5866,47.726,5243.474,2949.886,5243.324,2950.337,2195.395,100.000,184
5867,250.561,5822.217,2960.002,5822.442,2959.218,13029.190,100.000,1092
5868,47.726,5951.585,2949.886,5951.251,2950.067,2159.600,100.000,181
5869,274.424,5965.778,2965.130,5965.484,2965.042,13900.189,100.000,1165
5870,190.904,6560.172,2953.772,6560.920,2953.999,9569.057,100.000,802
5871,47.726,7333.265,2949.886,7333.178,2949.536,1885.176,100.000,158
5872,35.794,345.996,2953.916,346.405,2954.047,1777.792,100.000,149
5873,59.657,575.815,2952.995,575.539,2952.992,2481.750,100.000,208
5874,417.602,1348.371,2964.838,1348.308,2964.437,21703.385,100.000,1819.000
5875,23.863,1366.136,2953.340,1366.136,2953.255,727.821,100.000,61
5876,47.726,2319.495,2952.477,2319.385,2952.291,1885.176,100.000,158
5877,59.657,2465.953,2955.758,2465.953,2955.742,2565.271,100.000,215
5878,47.726,2599.285,2952.477,2599.195,2952.313,1825.518,100.000,153
5879,71.589,3252.704,2955.067,3252.757,2954.958,3018.668,100.000,253
5880,202.835,3965.522,2956.490,3965.518,2956.272,11430.370,100.000,958
5881,47.726,4974.047,2953.340,4974.479,2953.263,2672.654,100.000,224
5882,83.520,5100.125,2954.081,5100.081,2953.750,3722.626,100.000,312
5883,11.931,6281.461,2951.613,6281.461,2951.613,369.876,100.000,31
5884,71.589,7088.017,2955.067,7088.124,2955.218,3281.160,100.000,275
5885,71.589,7891.694,2955.643,7891.715,2955.423,2899.353,100.000,243
5886,59.657,874.258,2957.831,874.068,2957.882,2255.052,100.000,189
5887,47.726,1281.508,2956.795,1281.246,2956.685,1885.176,100.000,158
5888,71.589,2428.302,2958.522,2428.388,2958.407,2863.558,100.000,240
5889,23.863,2723.636,2956.795,2723.636,2956.916,847.136,100.000,71
5890,47.726,3680.449,2955.931,3680.585,2955.948,1825.518,100.000,153
5891,35.794,3983.267,2956.219,3983.484,2955.795,1586.888,100.000,133
5892,47.726,5488.723,2956.795,5488.767,2956.780,2791.969,100.000,234
5893,107.383,6917.802,2958.905,6917.304,2958.927,4879.980,100.000,409
5894,71.589,706.959,2962.552,707.221,2962.709,3149.914,100.000,264
5895,59.657,2280.117,2961.285,2280.137,2961.516,2422.093,100.000,203
5896,238.630,2350.237,2970.093,2350.205,2969.525,10487.782,100.000,879
5897,47.726,2547.472,2959.385,2547.709,2959.208,1741.998,100.000,146
5898,238.630,2744.707,2966.121,2745.060,2966.195,13208.162,100.000,1107
5899,119.315,3846.251,2961.630,3846.598,2961.747,5572.007,100.000,467
5900,59.657,4009.289,2960.594,4009.603,2960.433,2911.284,100.000,244
5901,59.657,4029.323,2961.976,4029.398,2962.036,2744.243,100.000,230
5902,71.589,4180.732,2961.400,4180.617,2961.090,2744.243,100.000,230
5903,143.178,4218.729,2965.142,4218.803,2965.255,6574.252,100.000,551
5904,71.589,5050.039,2961.976,5049.928,2961.739,3137.982,100.000,263
5905,59.657,5083.545,2960.594,5083.454,2960.698,2612.997,100.000,219
5906,23.863,5409.276,2958.522,5409.428,2958.522,1360.190,100.000,114
5907,298.287,6300.667,2963.219,6299.837,2963.175,14472.900,100.000,1213
5908,59.657,6335.347,2962.667,6335.360,2962.523,2410.161,100.000,202
5909,286.356,426.881,2974.353,426.777,2975.178,13279.751,100.000,1113
5910,107.383,649.198,2966.581,649.583,2966.705,5428.829,100.000,455
5911,369.876,756.080,2968.550,755.380,2968.757,16799.541,96.774,1408
5912,59.657,2413.449,2963.358,2413.284,2963.361,2350.504,100.000,197
5913,71.589,2575.106,2963.703,2575.128,2963.816,3651.037,100.000,306
5914,11.931,2730.544,2961.976,2730.544,2961.976,381.808,100.000,32
5915,35.794,3074.813,2963.127,3074.654,2962.714,1730.066,100.000,145
5916,59.657,3393.751,2965.430,3393.706,2965.385,2768.106,100.000,232
5917,47.726,3706.356,2963.703,3706.637,2963.388,2422.093,100.000,203
5918,83.520,4768.522,2966.417,4768.325,2966.329,4402.721,100.000,369
5919,35.794,5951.010,2964.279,5950.868,2964.224,1264.738,100.000,106
5920,47.726,6345.364,2963.703,6345.753,2963.784,2278.915,100.000,191
5921,47.726,6357.454,2964.566,6357.352,2964.681,2422.093,100.000,203
5922,35.794,6591.188,2964.279,6591.526,2964.414,1419.848,100.000,119
5923,47.726,6690.784,2963.703,6690.429,2963.646,1801.655,100.000,151
5924,59.657,7055.893,2964.048,7055.748,2964.144,2338.573,100.000,196
5925,47.726,7219.276,2963.703,7219.558,2963.703,2338.573,100.000,196
5926,298.287,8312.392,2968.470,8312.169,2968.536,15749.570,100.000,1320
5927,35.794,1703.496,2967.733,1703.656,2967.653,1205.081,100.000,101
5928,71.589,1848.572,2970.611,1848.833,2969.941,3472.064,100.000,291
5929,59.657,2475.625,2966.812,2475.640,2966.858,2684.586,100.000,225
5930,548.849,3151.131,2974.967,3151.621,2974.754,27024.830,100.000,2265
5931,71.589,3879.066,2968.884,3879.281,2968.676,3161.845,100.000,265
5932,47.726,5578.532,2967.157,5578.715,2967.433,2243.121,100.000,188
5933,47.726,811.737,2970.611,812.086,2970.671,2422.093,100.000,203
5934,11.931,1120.888,2968.884,1120.888,2968.884,393.739,100.000,33
5935,47.726,1540.573,2970.611,1540.527,2970.911,1789.724,100.000,150
5936,71.589,3033.938,2971.763,3033.636,2971.832,2768.106,100.000,232
5937,83.520,3324.667,2973.325,3324.539,2973.274,3877.735,100.000,325
5938,95.452,4008.166,2972.770,4008.380,2972.744,4164.091,100.000,349
5939,35.794,4303.357,2971.187,4303.132,2971.481,1777.792,100.000,149
5940,47.726,4321.203,2970.611,4321.595,2970.791,1944.833,100.000,163
5941,35.794,4373.592,2970.036,4373.941,2969.906,1694.272,100.000,142
5942,47.726,4565.588,2972.338,4565.475,2972.305,2469.819,100.000,207
5943,47.726,5499.085,2970.611,5498.382,2970.620,2255.052,100.000,189
5944,47.726,8140.684,2972.338,8140.616,2972.202,1813.587,100.000,152
5945,322.150,8285.409,2988.330,8285.457,2989.172,15737.638,100.000,1319
5946,47.726,411.050,2974.066,410.874,2973.779,2231.189,100.000,187
5947,47.726,825.554,2974.066,825.570,2974.281,2481.750,100.000,208
5948,1002.245,2022.927,3012.637,2022.993,3013.333,48179.366,97.619,4038
5949,1646.546,2524.894,3002.951,2524.418,3002.150,101990.397,100.000,8548
5950,59.657,3013.098,2973.720,3013.050,2973.816,2231.189,100.000,187
